Column2;Column5;Column6
Augustówka;52.19382;21.09169
Augustynka;52.44886;23.13935
Augustynki;51.94265;16.61377
Augustynowo;52.42717;18.76675
Augustynów;52.13859;17.8728
Augustyny;54.16734;20.0602
Aulekowszczyzna;53.43928;23.15327
Aurelin;50.9355;23.68172
Aurelów;50.91667;19.35
Awajki;53.94805;19.66786
Baba;53.28656;21.59346
Babañce;54.12465;23.29931
Babczów;51.05875;19.6723
Babczyzna;51.65;22.5
Babi Dó³;54.29955;18.31042
Babi Las;50.77557;17.78748
Babia Góra;52.88886;23.88775
Babia Wieœ;53.11952;18.02119
Babiak;54.17165;20.35968
Babiaki;49.99743;22.95525
Babianka;51.52303;22.82512
Babiarze;50.35;22.23333
Babica;49.93476;21.87035
Babice;51.69778;21.85601
Babice Ma³e;51.77152;19.22973
Babice Nowe;52.24856;20.84716
Babicha;50.38333;21.42315
Babichy;51.63885;19.47558
Babiczki;51.78215;19.2635
Babie Do³y;54.57334;18.54479
Babie £awy;52.86063;19.40992
Babiec;52.88333;19.63333
Babiec Piaseczny;52.89436;19.70502
Babienica;50.62324;18.97249
Babieniec;54.09975;21.18765
Babiêta;53.6737;21.2582
Babiêty;53.72312;21.14866
Babiêty Ma³e;53.66667;19.38333
Babigoszcz;53.68029;14.81289
Babiki;53.35793;23.69828
Babilon;51.15239;21.62743
Babimost;52.16488;15.82769
Babin;51.3246;21.70624
Babin Holendry;52.33333;17.86667
Babinek;53.13756;14.54589
Babino;53.15923;22.90826
Babki;54.2238;22.45159
Babki G¹seckie;53.90285;22.48169
Babki Oleckie;54.0863;22.50536
Babkowice;51.78144;17.14931
Bablin;52.67705;16.71705
Baborowo;52.57875;16.65733
Baborów;50.1576;17.98513
Baborówko;52.58532;16.63141
Baboszewo;52.6807;20.25527
Babrosty;53.62406;21.88007
Babsk;51.83928;20.35046
Babskie Budy;52.10956;20.26995
Babule;50.39819;21.53857
Baby;52.81573;20.59903
Baby Nowe;52.3;19.06667
Baby Stare;52.28084;19.04613
Bachanowo;54.24206;22.79766
Bachlawa;49.41712;22.34241
Bachmatówka;53.38714;23.38855
Bachorowice;49.93636;19.5821
Bachory;50.11667;22.91667
Bachorza;53.96444;21.59416
Bachorzew;51.99503;17.56113
Bachorzewo;52.64588;19.26621
Bachorzyn;51.49352;19.17997
Bachotek;53.31216;19.45742
Bachowice;49.95812;19.49369
Bachórce;52.66566;18.4203
Bachórz;49.83776;22.26826
Bachórzec;49.82636;22.32954
Bachów;49.78915;22.48886
Bachury;52.96968;23.78554
Bachus;51.31322;23.40395
Bacieczki;53.15199;23.09361
Baciki Bli¿sze;52.44272;22.91983
Baciki Dalsze;52.46998;22.91576
Baciki Œrednie;52.45166;22.9095
Baciuty;53.05407;22.98342
Bacze;52.927;20.71634
Bacze Mokre;53.03733;22.13333
Bacze Suche;53.06804;22.11501
Baczki;52.53661;21.77838
Baczki Fabryczne;52.53333;21.73333
Baczki Nowe;52.5296;21.75876
Baczki Stare;52.53668;21.78283
Baczków;51.87342;21.9136
Baczyn;49.79257;19.72063
Baczyna;51.23451;20.52101
Baækowice;50.79194;21.23211
Badowo K³ody;51.93257;20.54114
Badowo-Mœciska;51.96386;20.55802
Badów Górny;51.94148;20.53124
Badrzychowice;50.34924;20.78257
Badze;54.23324;20.55553
Bagatela;50.81667;22.98333
Bagicz;54.20018;15.70045
Bagienica;53.45117;17.78223
Bagienice;53.84842;21.23167
Bagienice Du¿e;53.14523;20.00748
Bagienice Folwark;53.06577;21.18485
Bagienice Ma³e;53.86019;21.23597
Bagienice Nowe;53.14059;19.97898
Bagienice Szlacheckie;53.05669;21.1964
Bagienice Wielkie;53.25457;20.86201
Bagieñskie;53.56667;21.98333
Bagiñskie;52.82711;22.94522
Bagiñskie Nowe;52.82896;22.94332
Bagiñskie Stare;52.82737;22.94713
Bagleniec;50.89153;16.48645
Bagna;53.54437;15.17379
Bagniewko;53.35082;18.23127
Bagniewo;53.35653;18.23621
Bagnity;53.83882;19.75122
Bagno;53.44185;22.92812
Bagnówka;53.15166;23.21832
Bagny;53.62633;23.22505
Bajdy;49.76191;21.67057
Bajdyty;54.15317;20.97162
Bajerowka;50.03333;18.68333
Bajerze;53.2463;18.45873
Bajki;53.3;22.75
Bajki Stare;53.30331;22.73692
Bajki-Zalesie;53.29904;22.75262
Bajory Ma³e;54.2998;21.52891
Bajory Wielkie;54.29762;21.50803
Bajtkowo;53.74159;22.25916
Baka³arzewo;54.09398;22.65218
Bakaniuk;54.03333;22.85
Bakoñczyce;49.76858;22.81733
Baku³a;53.20811;21.25676
Balbinów;50.80943;21.50619
Balcarzowice;50.46362;18.37772
Balcerów;51.92879;20.15144
Balcery;52.42397;21.50875
Balczewo;52.78743;18.36276
Baldram;53.75897;18.94173
Baldwinowice;50.63531;16.89359
Bale;52.24751;22.13204
Balewko;53.87493;19.25131
Balewo;54.05999;19.40289
Balice;50.54453;20.83437
Baligród;49.3309;22.28566
Baliki;53.25146;21.88429
Balików;52.23179;19.69797
Balin;50.16799;19.3834
Balin Ma³y;50.15;19.36667
Balinka;53.77519;23.1672
Balków;52.08867;19.40613
Balnica;49.18787;22.21624
Ba³aje;50.18015;23.14324
Ba³amutowo;53.89687;22.24623
Ba³a¿ówka;49.75296;20.3793
Ba³¹g;53.82569;20.21883
Ba³cyny;53.59681;19.8555
Ba³doñ;51.66785;18.17185
Ba³dowice;51.31631;17.78842
Ba³dowo;54.05969;18.79898
Ba³drzychowska Góra;51.84866;18.97116
Ba³drzychów;51.86373;18.9196
Ba³dzki Piec;53.61667;20.65
Ba³ków;50.72541;19.9223
Ba³oszyce;53.67444;19.28169
Ba³tów;51.49004;22.02347
Ba³ucianka;49.53248;21.80209
Ba³ucz;51.63461;19.06103
Ba³upiany;54.32093;22.23701
Ba³uty;51.80849;19.44787
Ba³uty Centrum;51.79776;19.43404
Ba³uty Zachodnie;51.80747;19.39027
Ba³uty-Do³y;51.78474;19.48219
Banachowizna;52.36626;21.37833
Banachy;50.49815;22.54956
Bandrów Kolonia;49.38333;22.73333
Bandrów Narodowy;49.38807;22.70874
Bandysie;53.30366;21.21542
Bania;50.69943;22.17676
Banica;49.5282;21.31124
Banie;53.10031;14.66228
Banie Mazurskie;54.24662;22.03617
Baniewice;53.08392;14.61044
Banino;54.39215;18.40622
Baniocha;52.01653;21.13984
Baniów;51.56667;19.66667
Banowice;49.84938;20.00653
Bañgów;50.32896;19.02383
Bañki;52.81894;23.12529
Bañkowszczyzna;51.0541;23.31941
Bañska;49.4;20
Bañska Ni¿na;49.40863;20.01029
Bañska Wy¿na;49.38897;19.97692
Barak;51.28822;22.46292
Baraki;50.97398;23.29813
Baraki Nowe;50.79334;22.02791
Baraki Stare;50.80333;22.04695
Baran;50.13333;20.11667
Baranica;50.96144;22.95218
Baranki;52.94598;23.11345
Baranowice;52.73837;15.56025
Baranowo;54.31252;22.98709
Baranów;52.11989;20.47285
Baranów Sandomierski;50.49912;21.54204
Baranówek;50.85137;20.61112
Baranówka;51.41594;22.65984
Baranówko;52.20876;16.89654
Barany;54.09313;22.3406
Barañce;52.95368;20.79697
Barbarka;52.23343;18.02876
Barbarówka;51.13092;23.74723
Barce;50.51089;22.12407
Barchaczów;50.6777;23.37777
Barchlin;52.01887;16.40372
Barchnowy;53.93838;18.59068
Barchów;52.51643;21.65397
Barciany;54.21993;21.35347
Barcice;52.53622;21.26288
Barcice Dolne;49.52365;20.65078
Barcie;54.28697;22.58892
Barcik;52.37382;19.84116
Barcik Nowy;52.36777;19.83333
Barcikowice;51.84822;15.56065
Barcikowiczki;51.85359;15.52574
Barcikowo;53.94295;20.43079
Barcin;52.86607;17.94625
Barcinek;50.93853;15.59664
Barcino;54.27715;16.96246
Barcin-Wieœ;52.89296;17.95389
Barciszewo;54.28417;20.68056
Barcza;50.94112;20.7748
Barcz¹ca;52.15685;21.62616
Barczew;51.4855;18.69255
Barczewko;53.84956;20.58959
Barczewo;53.83055;20.69112
Barczkowice;51.20238;19.51376
Barczków;50.13494;20.5491
Barczyg³ów;52.16;18.17524
Barczyzna;52.37829;17.44819
Bardno;50.48191;17.45661
Bardo;50.73537;21.0438
Bardy;54.10953;15.70599
Bardyny;54.17972;19.94172
Bardzice;51.3003;21.16591
Bardzinin;52.26667;19.15
Bardzlino;54.07586;16.12157
Bardzynin;51.16667;19.9
Bardzynska Huta;51.9031;19.16137
Bargêdzino;54.73152;17.72491
Barg³ów Dworny;53.77584;22.84921
Barg³ów Koœcielny;53.77367;22.8229
Barg³ówka;53.74111;22.87031
Barg³y;50.70749;19.12119
Bargowie;52.27052;19.96117
Bargów;52.24446;14.91561
Barki;51.26557;23.093
Barkocin;54.15077;17.20605
Barkoczyn;54.0821;18.12591
Barkowice;51.39321;19.84251
Barkowice Mokre;51.4097;19.8777
Barkowo;54.2989;22.19582
Barlewice;53.92179;19.06535
Barlinek;52.99464;15.21864
Bar³ogi;51.42574;22.20026
Bar³omino;54.53333;18.1
Bar³ozna Wolsztyñska;52.16724;16.12277
Bar³o¿no;53.78574;18.61167
Barnim;53.23692;15.01336
Barnimie;53.17614;15.80407
Barnis³aw;53.36268;14.41169
Barnowiec;49.50492;20.78424
Barnówko;52.78454;14.76665
Barschau;51.5271;16.1932
Barszcze;53.74283;22.75607
Barszczewo;53.12501;23.01425
Barszczowa Góra;53.96865;22.97199
Barszczówka;53.05352;23.00622
Bart¹g;53.71568;20.4692
Bart¹¿ek;53.70947;20.49358
Bartel Wielki;53.91337;18.14191
Bartê¿ek;53.81931;19.87152
Bartki;54.3;20.18333
Bartki-Mocarze;53.3;22.43333
Bartkowa;49.76667;20.75
Bartkowa Stajnia;54.09588;17.7124
Bartkowa-Posadowa;49.75503;20.77965
Bartkowice;50.91927;19.37336
Bartków;50.98016;20.64606
Bartków Nowy;52.33738;22.56635
Bartków Stary;52.33036;22.54498
Bartkówka;49.80858;22.25296
Bart³omiejowice;51.30743;22.11572
Bart³omiejów;50.76667;21.38333
Bartna Góra;54.14639;22.72237
Bartne;49.55879;21.34309
Bartnica;50.64512;16.4056
Bartniczka;53.24149;19.56529
Bartniki;54.08725;20.75629
Bartno;53.94639;19.58253
Bartochów;51.67021;18.62228
Bartodzieje;52.68885;21.19473
Bartodzieje Bankowe;51.10164;19.46408
Bartodzieje Dwór;51.08333;19.45
Bartodzieje Ma³e;53.11667;18.05
Bartodzieje Podleœne;51.10433;19.45238
Bartodzieje W³oœæiañskie;51.08779;19.45139
Bartolino;54.27531;16.51111
Barto³dy;52.96341;20.83771
Barto³ty Ma³e;53.79103;20.8562
Barto³ty Wielkie;53.78995;20.82605
Bartosze;53.82252;22.2687
Bartoszewice;51.6838;17.13184
Bartoszki;53.3765;20.49424
Bartoszkowo;53.33444;16.92444
Bartoszowa;50.88744;16.97285
Bartoszowice;51.10096;17.12005
Bartoszowiny;50.83828;21.03181
Bartoszów;51.18671;16.21316
Bartoszówka;51.97499;20.66511
Bartoszyce;54.25354;20.80819
Bartoszycha;51.35756;23.35321
Bartoszylas;53.99155;18.10255
Baruchowo;52.49412;19.26496
Barut;50.55413;18.42819
Barwa³d;49.86282;19.57934
Barwa³d Dolny;49.86654;19.57146
Barwa³d Górny;49.86211;19.61746
Barwa³d Œredni;49.86632;19.5936
Barwice;53.7449;16.3553
Barwik;54.40087;18.19418
Barwiki;53.3695;22.41915
Barwinek;50.85;20.61667
Barwino;54.28949;16.91308
Barwiny;53.7;20.35
Barycz;51.31021;21.64819
Barycz Nowa;51.314;21.63886
Barycz Stara;51.3121;21.6641
Baryczka;51.31409;21.81533
Barzkowice;53.3406;15.266
Barzowice;54.47931;16.51005
Barzykowo;53.40237;22.13299
Barzyna;51.03573;17.59169
Basakówka;50.13895;22.246
Basin;52.14534;20.50529
Basinów;52.52665;21.55084
Basonia;51.00652;21.82623
Baszewice;53.86214;15.1989
Baszki;51.31495;22.63235
Baszków;51.68063;17.29357
Baszkówka;52.02942;20.92681
Basznia Dolna;50.17767;23.21936
Basznia Górna;50.16499;23.24578
Baszowice;50.87499;21.07032
Baszyn;51.43613;16.61854
Batkowo;52.76858;18.21051
Batorowo;52.42242;16.74574
Batorów;50.44073;16.42452
Batorówek;50.44884;16.4228
Batorz;50.8505;22.49313
Batorz Pierwszy;50.84867;22.4938
Batowice;50.11287;20.01881
Batycze;49.86145;22.74822
Batyñ;53.88091;15.88927
Bauchwitz;52.37639;15.69167
Bazanów Nowy;51.63333;22.03333
Bazanów Stary;51.6;22.01667
Bazylia;51.87366;19.37792
Bazylów;49.43333;22.48333
Ba¿anowice;49.73791;18.70345
Ba¿anówka;49.60537;22.05334
Ba¿any;50.85;18.18333
Ba¿ów;50.59496;21.44829
Ba¿yny;54.13171;20.042
B¹bla;53.36667;23.15
B¹blinek;52.68571;16.69572
B¹bliniec;52.69172;16.74
B¹cka Huta;54.36952;17.97497
B¹cz;54.36793;17.99921
B¹cza;49.55;20.75
B¹cza-Kunina;49.53991;20.73446
B¹czal Dolny;49.76974;21.3806
B¹czal Górny;49.77317;21.35931
B¹cza³ka;49.91056;21.47913
B¹czek;54.02768;18.46307
B¹czki;53.4;21.73333
B¹czylas;51.79357;16.90459
B¹decz;53.21374;17.07653
B¹dki;53.87402;19.62359
B¹dkowo;52.75437;20.62008
B¹dkowo Jeziorne;52.68231;19.48425
B¹dkowo Koœcielne;52.67414;19.50434
B¹dków;51.75081;20.82716
B¹dle;54.28139;20.62333
B¹dy;54.126;19.71619
B¹dze;53.79801;19.46468
B¹dzów;51.5712;16.05334
B¹dzyn;53.08767;19.84527
B¹gart;53.96618;19.35988
B¹k;53.92041;17.95828
B¹ki;50.98059;16.8865
B¹kowa;51.21324;21.47362
B¹kowa Góra;51.14093;19.86693
B¹kowice;50.93099;17.6992
B¹kowiec;51.50175;21.70603
B¹kowo;54.29329;18.53067
B¹kowo dolne;53.11667;17.25
B¹kowo Górne;53.11052;17.2441
B¹kowski M³yn;53.58199;18.56483
B¹ków;51.45735;20.65968
B¹ków Dolny;52.15414;19.71737
B¹ków Górny;52.16477;19.72389
B¹ków Poduchowny;52.15675;19.72616
Bebelno;50.76227;19.98853
Becej³y;54.26765;23.04172
Bechcice;51.75259;19.2674
Bechy;52.41731;15.30846
Beczków Górki;50.9;20.83333
Beczków Zaskale;50.89152;20.8082
Beækowo;53.60514;22.31598
Bedlenko;51.19847;20.31831
Bedlno;51.81143;22.5436
Bednarka;49.64162;21.33305
Bednary;52.10829;20.07072
Bednary-Kolonia;52.11626;20.08734
Bednarze;52.4731;21.78107
Bednarzówka;51.61258;23.04708
Bedoñ;51.75;19.65
Bedoñ Przykoœcielny;51.73793;19.6378
Bedoñ Wieœ;51.74441;19.64433
Bedziechowo;54.58868;17.29042
Begno;52.75192;20.84096
Beidechów;49.81667;20.95
Bejdy;52.16494;22.59439
Bejsce;50.23903;20.59834
Beka;54.63878;18.5111
Bekiesza;51.29703;23.21076
Beksza;50.19789;18.71976
Beksznica;49.96667;18.35
Beleñ;51.55933;18.85155
Belêcin;52.20371;16.00485
Belêcin Nowy;51.90396;16.86527
Belêcin Stary;51.89529;16.86616
Belno;50.99028;20.71486
Belny;52.41102;18.57557
Belsk Du¿y;51.82561;20.80847
Belsk Ma³y;51.83927;20.81658
Be³chatów;51.36883;19.35671
Be³chatówek;51.3785;19.3683
Be³chów;52.01949;20.04559
Be³chówka;49.48819;22.10876
Be³cz Górny;51.60814;16.64709
Be³cz Wielki;51.61647;16.35761
Be³cz¹c;53.58864;22.07801
Be³cze;51.98141;15.84573
Be³czna;53.71423;15.59224
Be³czyna;51.0442;15.74667
Be³da;53.68248;22.62162
Be³dno;49.80487;20.39526
Be³dów;51.82708;19.18544
Be³dówek;51.8164;19.19296
Be³dówka;51.78333;19.86667
Be³k;50.5502;20.41898
Be³szewo;52.63333;18.7
Be³szewo Nowe;52.6384;18.70168
Be³sznica;49.97811;18.36313
Be³tno;53.79007;15.64589
Be³win;49.82905;22.66934
Be³zatka;51.40892;19.63979
Be³zów;50.27463;20.41813
Be³¿ec;50.375;23.4313
Be³¿yce;51.17415;22.28027
Bema;53.12043;23.1336
Bemowizna;54.33775;19.84972
Bemowo;52.2546;20.90844
Bemowo Lotnisko;52.25415;20.92587
Bemowo Piskie;53.73253;22.06341
Bendorzyn;52.71009;19.58169
Benenard;52.02482;20.43431
Beniaminów;52.44209;21.10697
Benice;53.89429;14.90933
Benignowo;52.3;18.06667
Benowo;53.89422;18.92815
Berdechów;50.66933;21.90954
Berdyszcze;51.17891;23.79879
Bereh;49.2;22.43333
Berehy Dolne;49.43333;22.63333
Berehy Górne;49.14118;22.56832
Berejów;51.51214;22.73959
Beresie Du¿e;51.25287;18.91896
Beresie Ma³e;51.2527;18.95491
Bereska;50.15;19.43333
Berest;49.50208;20.97046
Bereœæ;50.80266;23.61181
Bereza;51.93261;22.77763
Berezka;49.58647;22.38268
Berezniki;54.26501;23.30959
Berezów;51.02924;20.83839
Berezówka;52.10398;23.445
BereŸnica;50.92524;23.99532
Bere¿ki;49.14039;22.66831
Bere¿nica Ni¿na;49.41667;22.41667
Bere¿nica Wy¿na;49.34984;22.3601
Bere¿yszcze;52.48886;23.30826
Bergen;50.97;16.63
Berkanowo;53.82734;15.57734
Berlinek;52.49924;18.28237
Berlinka;50.98275;20.52148
Bernacice;50.17084;17.87521
Bernadzki Most;52.85332;23.68363
Bernardowo;52.968;18.96548
Bernardów;51.33333;19.45
Bernardówka;54.28918;18.20718
Bernów;51.31361;20.42912
Bertolin;51.86062;19.62789
Bertowo;52.78863;18.89427
Berwicha;53.55224;23.40569
Berzyna;52.09918;16.11205
Ber¿niki;54.08128;23.46474
Besiekiery;52.15213;18.9703
Besk Nowy;52.10965;19.03843
Besk Stary;52.12596;19.04071
Besko;49.58757;21.95292
Bessów;50.08022;20.49817
Bestwin;51.66925;17.2838
Bestwina;49.89712;19.05776
Bestwinka;49.93272;19.06694
Bestwiny;52.07312;21.60959
Beszowa;50.42257;21.11153
Beszyce;50.60067;21.51003
Beszyce Dolne;50.59114;21.51048
Beszyce Górne;50.5974;21.50745
Beszyno;52.55896;20.31592
Beszyno Micha³owo;52.56667;20.3
Beœnica;53.15;19.7
Betkowo;52.10552;16.71981
Betlejem;50.73917;16.04386
Bezek;51.20151;23.26986
Bezki;51.91667;14.75
Bezledy;54.32697;20.72749
Bez³awki;54.01694;21.26938
Bezmiechowa Dolna;49.50554;22.36739
Bezmiechowa Górna;49.50688;22.39271
Beznatka;50.81667;18.2
Beznazwa;52.14821;18.41029
Bezrzecze;53.45821;14.45629
Bezwola;51.76613;22.7902
BeŸnik;51.43208;20.71747
Bêb³o;50.18053;19.78741
Bêbnik¹t;52.7219;16.78467
Bêbnowo;52.91708;20.08773
Bêbnów;51.24443;20.41127
Bêczarka;49.87793;19.86723
Bêczkowice;51.1965;19.71668
Bêczków;50.8877;20.806
Bêczków Niwy;50.87628;20.80686
Bêczków Stara Wieœ;50.88381;20.80315
Bêczyn;50.99123;22.10164
Bêdargowo;54.42705;18.12734
Bêdkowice;50.86562;16.75419
Bêdków;51.58763;19.74956
Bêdlewo;52.23419;16.7222
Bêdlino;53.44301;16.16535
Bêdomin;54.13;18.11944
Bêdominek;54.13162;18.10571
Bêdów;52.06655;15.3071
Bêdusz;50.54925;19.29712
Bêdzelin;51.71512;19.8063
Bêdziaki;50.32601;20.59765
Bêdziechów;51.88417;18.44223
Bêdziemyœl;50.056;21.78133
Bêdzienica;49.9871;21.75894
Bêdzieszyn;51.73416;17.85118
Bêdzieszyna;49.81705;20.63275
Bêdzin;50.32607;19.12565
Bêdzino;54.21;15.99086
Bêdziszewo;54.31242;22.61982
Bêdzymin;53.05071;19.82466
Bêdzyn;51.15962;19.88785
BêdŸmirowice;53.80683;18.04951
Bêków;51.24454;19.05605
Bêtlewo;52.71804;19.28018
Biadacz;50.73618;17.9593
Biadaczka;51.41887;22.44927
Biadaszki;51.25579;18.11045
Biadki;51.6751;17.55141
Biadoliny Rad³owskie;49.99221;20.76019
Biadoliny Szlacheckie;49.99887;20.75062
Biala Góra;52.30763;20.20799
Bialasy;52.919;19.6424
Bialiki;53.47008;21.91172
Bialobrzegi;50.86667;23.38333
Bialska;50.48333;17.15
Bialskopodlaskie Województwo;52;23
Bialy Zdrój;53.84087;15.77391
Bia³a;51.78439;22.58447
Bia³a Bagno;52.02056;18.1428
Bia³a B³otna;50.59975;19.63621
Bia³a Dolna;50.86472;19.06167
Bia³a Druga;51.26613;18.44953
Bia³a Góra;53.91649;18.89081
Bia³a Górna;50.87371;19.05522
Bia³a Krakowska;49.82368;19.05124
Bia³a Ni¿na;49.64057;20.97408
Bia³a Nyska;50.43499;17.30656
Bia³a Olecka;54.12486;22.50364
Bia³a Ordynacka;50.71667;22.43333
Bia³a Panieñska;52.01315;18.15302
Bia³a Pierwsza;51.2737;18.43167
Bia³a Piska;53.61191;22.06321
Bia³a Podlaska;52.03238;23.11652
Bia³a Poduchowna;50.71285;22.42533
Bia³a Rawska;51.80779;20.47259
Bia³a Ró¿a;51.26162;19.54569
Bia³a Rz¹dowa;51.2622;18.47128
Bia³a Rzeka;54.6;18.36667
Bia³a Towarzystwo;50.86667;19.06667
Bia³a Wielka;50.69102;19.65291
Bia³a Wieœ;51.8786;20.52812
Bia³a Woda;54.15278;22.89432
Bia³a Wy¿na;49.61073;20.94957
Bia³achowo;53.91939;18.35278
Bia³aczów;51.29815;20.29724
Bia³a-Kolonia;52.07386;18.00359
Bia³a-Parcela;51.26369;18.44403
Bia³aszewo;53.50883;22.50742
Bia³cz;52.67609;14.94348
Bia³cz Nowy;52.06282;16.5109
Bia³cz Stary;52.07334;16.54315
